#,Project,Category,Description,GitHub,Status,Source
247,Nx,Design / Frontend,Monorepo build system,https://github.com/nrwl/nx,To Review,Curated GitHub list
248,Turborepo,Design / Frontend,High-performance build system,https://github.com/vercel/turborepo,To Review,Curated GitHub list
249,Rush Stack,Developer Tools,Monorepo tooling,https://github.com/microsoft/rushstack,To Review,Curated GitHub list
250,Changesets,Developer Tools,Versioning and changelog management,https://github.com/changesets/changesets,To Review,Curated GitHub list
251,Renovate,Developer Tools,Dependency update automation,https://github.com/renovatebot/renovate,To Review,Curated GitHub list
252,Dependabot Core,Developer Tools,Dependency update engine,https://github.com/dependabot/dependabot-core,To Review,Curated GitHub list
253,Trivy,Data / Analytics,Vulnerability scanner,https://github.com/aquasecurity/trivy,To Review,Curated GitHub list
254,Grype,AI / ML,Container vulnerability scanner,https://github.com/anchore/grype,To Review,Curated GitHub list
255,Syft,Developer Tools,SBOM generator,https://github.com/anchore/syft,To Review,Curated GitHub list
256,Semgrep,Developer Tools,Static code analysis,https://github.com/semgrep/semgrep,To Review,Curated GitHub list
257,SonarQube Community,Developer Tools,Code quality platform,https://github.com/SonarSource/sonarqube,To Review,Curated GitHub list
258,CodeQL,Developer Tools,Semantic code analysis,https://github.com/github/codeql,To Review,Curated GitHub list
259,Open Policy Agent,AI / ML,Policy engine,https://github.com/open-policy-agent/opa,To Review,Curated GitHub list
260,Kyverno,DevOps / Infrastructure,Kubernetes policy engine,https://github.com/kyverno/kyverno,To Review,Curated GitHub list
261,Falco,DevOps / Infrastructure,Cloud-native runtime security,https://github.com/falcosecurity/falco,To Review,Curated GitHub list
262,Wazuh,DevOps / Infrastructure,Security monitoring platform,https://github.com/wazuh/wazuh,To Review,Curated GitHub list
263,CrowdSec,Security / Auth,Collaborative security engine,https://github.com/crowdsecurity/crowdsec,To Review,Curated GitHub list
264,OSQuery,Data / Analytics,SQL-powered endpoint visibility,https://github.com/osquery/osquery,To Review,Curated GitHub list
265,Suricata,Security / Auth,Network threat detection,https://github.com/OISF/suricata,To Review,Curated GitHub list
266,Zeek,DevOps / Infrastructure,Network security monitoring,https://github.com/zeek/zeek,To Review,Curated GitHub list
267,TheHive,Security / Auth,Security incident response platform,https://github.com/TheHive-Project/TheHive,To Review,Curated GitHub list
268,Cortex,Developer Tools,Observable analysis engine,https://github.com/TheHive-Project/Cortex,To Review,Curated GitHub list
269,MISP,Security / Auth,Threat intelligence sharing platform,https://github.com/MISP/MISP,To Review,Curated GitHub list
270,OpenCTI,Security / Auth,Cyber threat intelligence platform,https://github.com/OpenCTI-Platform/opencti,To Review,Curated GitHub list
271,GoPhish,Developer Tools,Phishing simulation framework,https://github.com/gophish/gophish,To Review,Curated GitHub list
272,Authelia,DevOps / Infrastructure,Authentication and authorization server,https://github.com/authelia/authelia,To Review,Curated GitHub list
273,Casdoor,Security / Auth,Identity and access management,https://github.com/casdoor/casdoor,To Review,Curated GitHub list
274,Logto,Security / Auth,Auth0 alternative,https://github.com/logto-io/logto,To Review,Curated GitHub list
275,SuperTokens,Security / Auth,Open-source user authentication,https://github.com/supertokens/supertokens-core,To Review,Curated GitHub list
276,Ory Oathkeeper,DevOps / Infrastructure,Identity and access proxy,https://github.com/ory/oathkeeper,To Review,Curated GitHub list
277,Teleport,DevOps / Infrastructure,Access platform for infrastructure,https://github.com/gravitational/teleport,To Review,Curated GitHub list
278,NetBird,Data / Analytics,Open-source VPN management,https://github.com/netbirdio/netbird,To Review,Curated GitHub list
279,Headscale,AI / ML,Self-hosted Tailscale control server,https://github.com/juanfont/headscale,To Review,Curated GitHub list
280,Netmaker,Developer Tools,WireGuard network platform,https://github.com/gravitl/netmaker,To Review,Curated GitHub list
281,Firezone,Security / Auth,Secure remote access platform,https://github.com/firezone/firezone,To Review,Curated GitHub list
282,Outline Server,DevOps / Infrastructure,VPN server manager,https://github.com/Jigsaw-Code/outline-server,To Review,Curated GitHub list
283,WireGuard Easy,Design / Frontend,Web UI for WireGuard,https://github.com/wg-easy/wg-easy,To Review,Curated GitHub list
284,Pi-hole,Developer Tools,Network-wide ad blocking,https://github.com/pi-hole/pi-hole,To Review,Curated GitHub list
285,Technitium DNS Server,DevOps / Infrastructure,Self-hosted DNS server,https://github.com/TechnitiumSoftware/DnsServer,To Review,Curated GitHub list
286,PowerDNS,DevOps / Infrastructure,Authoritative DNS server,https://github.com/PowerDNS/pdns,To Review,Curated GitHub list
287,CoreDNS,DevOps / Infrastructure,DNS server and service discovery,https://github.com/coredns/coredns,To Review,Curated GitHub list
288,Caddy,DevOps / Infrastructure,Modern web server,https://github.com/caddyserver/caddy,To Review,Curated GitHub list
289,Traefik,DevOps / Infrastructure,Cloud-native application proxy,https://github.com/traefik/traefik,To Review,Curated GitHub list
290,Nginx Proxy Manager,Design / Frontend,Proxy manager UI,https://github.com/NginxProxyManager/nginx-proxy-manager,To Review,Curated GitHub list
291,Envoy,DevOps / Infrastructure,Cloud-native proxy,https://github.com/envoyproxy/envoy,To Review,Curated GitHub list
292,HAProxy,DevOps / Infrastructure,Load balancer and proxy,https://github.com/haproxy/haproxy,To Review,Curated GitHub list
293,Kong Gateway,DevOps / Infrastructure,API gateway,https://github.com/Kong/kong,To Review,Curated GitHub list
294,Tyk Gateway,DevOps / Infrastructure,API gateway,https://github.com/TykTechnologies/tyk,To Review,Curated GitHub list
295,Apache APISIX,DevOps / Infrastructure,Cloud-native API gateway,https://github.com/apache/apisix,To Review,Curated GitHub list
296,KrakenD,DevOps / Infrastructure,High-performance API gateway,https://github.com/krakendio/krakend-ce,To Review,Curated GitHub list
297,Fusio,Developer Tools,API management platform,https://github.com/apioo/fusio,To Review,Curated GitHub list
298,Hoppscotch,Developer Tools,Open-source API client,https://github.com/hoppscotch/hoppscotch,To Review,Curated GitHub list
299,Insomnia,Design / Frontend,API client and design platform,https://github.com/Kong/insomnia,To Review,Curated GitHub list
300,Bruno,Developer Tools,Offline API client,https://github.com/usebruno/bruno,To Review,Curated GitHub list
301,Yaak,AI / ML,Desktop API client,https://github.com/mountain-loop/yaak,To Review,Curated GitHub list
302,Firecamp,Developer Tools,API development client,https://github.com/firecamp-dev/firecamp,To Review,Curated GitHub list
303,Mockoon,Developer Tools,API mocking tool,https://github.com/mockoon/mockoon,To Review,Curated GitHub list
304,Prism,Developer Tools,Mock and validate APIs,https://github.com/stoplightio/prism,To Review,Curated GitHub list
305,WireMock,Developer Tools,API mocking platform,https://github.com/wiremock/wiremock,To Review,Curated GitHub list
306,Pact JS,Developer Tools,Contract testing framework,https://github.com/pact-foundation/pact-js,To Review,Curated GitHub list
307,K6,Developer Tools,Load testing tool,https://github.com/grafana/k6,To Review,Curated GitHub list
308,Locust,Developer Tools,Load testing framework,https://github.com/locustio/locust,To Review,Curated GitHub list
309,Artillery,Developer Tools,Performance testing toolkit,https://github.com/artilleryio/artillery,To Review,Curated GitHub list
310,JMeter,Developer Tools,Load testing tool,https://github.com/apache/jmeter,To Review,Curated GitHub list
311,Grafana Loki,Developer Tools,Log aggregation system,https://github.com/grafana/loki,To Review,Curated GitHub list
312,Vector,AI / ML,Observability data pipeline,https://github.com/vectordotdev/vector,To Review,Curated GitHub list
313,Fluent Bit,Data / Analytics,Log processor and forwarder,https://github.com/fluent/fluent-bit,To Review,Curated GitHub list
314,Fluentd,Data / Analytics,Data collector,https://github.com/fluent/fluentd,To Review,Curated GitHub list
315,OpenTelemetry Collector,Data / Analytics,Observability data collector,https://github.com/open-telemetry/opentelemetry-collector,To Review,Curated GitHub list
316,Jaeger,Developer Tools,Distributed tracing platform,https://github.com/jaegertracing/jaeger,To Review,Curated GitHub list
317,SigNoz,Data / Analytics,Open-source Datadog alternative,https://github.com/SigNoz/signoz,To Review,Curated GitHub list
318,VictoriaMetrics,Data / Analytics,Monitoring database,https://github.com/VictoriaMetrics/VictoriaMetrics,To Review,Curated GitHub list
319,Thanos,AI / ML,Highly available Prometheus setup,https://github.com/thanos-io/thanos,To Review,Curated GitHub list
320,Mimir,DevOps / Infrastructure,Scalable metrics storage,https://github.com/grafana/mimir,To Review,Curated GitHub list
321,Netdata,Data / Analytics,Infrastructure monitoring,https://github.com/netdata/netdata,To Review,Curated GitHub list
322,Checkmk,DevOps / Infrastructure,IT monitoring platform,https://github.com/Checkmk/checkmk,To Review,Curated GitHub list
323,Zabbix,Data / Analytics,Enterprise monitoring,https://github.com/zabbix/zabbix,To Review,Curated GitHub list
324,Icinga 2,DevOps / Infrastructure,Monitoring system,https://github.com/Icinga/icinga2,To Review,Curated GitHub list
325,LibreNMS,DevOps / Infrastructure,Network monitoring,https://github.com/librenms/librenms,To Review,Curated GitHub list
326,NetBox,AI / ML,Infrastructure resource modeling,https://github.com/netbox-community/netbox,To Review,Curated GitHub list
327,phpIPAM,Developer Tools,IP address management,https://github.com/phpipam/phpipam,To Review,Curated GitHub list
328,Nautobot,Developer Tools,Network automation platform,https://github.com/nautobot/nautobot,To Review,Curated GitHub list
329,Ansible,Developer Tools,IT automation platform,https://github.com/ansible/ansible,To Review,Curated GitHub list
330,Salt Project,DevOps / Infrastructure,Infrastructure automation,https://github.com/saltstack/salt,To Review,Curated GitHub list
331,Pulumi,DevOps / Infrastructure,Infrastructure as code,https://github.com/pulumi/pulumi,To Review,Curated GitHub list
332,Terraform,DevOps / Infrastructure,Infrastructure as code,https://github.com/hashicorp/terraform,To Review,Curated GitHub list
333,OpenTofu,DevOps / Infrastructure,Terraform-compatible infrastructure as code,https://github.com/opentofu/opentofu,To Review,Curated GitHub list
334,Terragrunt,DevOps / Infrastructure,Terraform workflow wrapper,https://github.com/gruntwork-io/terragrunt,To Review,Curated GitHub list
335,Packer,Design / Frontend,Machine image builder,https://github.com/hashicorp/packer,To Review,Curated GitHub list
336,Nomad,DevOps / Infrastructure,Workload orchestration,https://github.com/hashicorp/nomad,To Review,Curated GitHub list
337,Consul,Developer Tools,Service discovery and mesh,https://github.com/hashicorp/consul,To Review,Curated GitHub list
338,Etcd,Developer Tools,Distributed key-value store,https://github.com/etcd-io/etcd,To Review,Curated GitHub list
339,Kubernetes,AI / ML,Container orchestration,https://github.com/kubernetes/kubernetes,To Review,Curated GitHub list
340,K3s,DevOps / Infrastructure,Lightweight Kubernetes,https://github.com/k3s-io/k3s,To Review,Curated GitHub list
341,MicroK8s,DevOps / Infrastructure,Lightweight Kubernetes distribution,https://github.com/canonical/microk8s,To Review,Curated GitHub list
342,Kind,DevOps / Infrastructure,Run Kubernetes in Docker,https://github.com/kubernetes-sigs/kind,To Review,Curated GitHub list
343,Minikube,DevOps / Infrastructure,Local Kubernetes,https://github.com/kubernetes/minikube,To Review,Curated GitHub list
344,Docker Compose,AI / ML,Multi-container app runner,https://github.com/docker/compose,To Review,Curated GitHub list
345,Podman,AI / ML,Container engine,https://github.com/containers/podman,To Review,Curated GitHub list
346,Buildah,AI / ML,Build OCI container images,https://github.com/containers/buildah,To Review,Curated GitHub list
347,Skopeo,AI / ML,Container image operations,https://github.com/containers/skopeo,To Review,Curated GitHub list
348,Containerd,AI / ML,Container runtime,https://github.com/containerd/containerd,To Review,Curated GitHub list
349,CRI-O,AI / ML,Kubernetes container runtime,https://github.com/cri-o/cri-o,To Review,Curated GitHub list
350,WasmEdge,DevOps / Infrastructure,WebAssembly runtime,https://github.com/WasmEdge/WasmEdge,To Review,Curated GitHub list
351,Dapr,DevOps / Infrastructure,Distributed application runtime,https://github.com/dapr/dapr,To Review,Curated GitHub list
352,Kuma,Developer Tools,Service mesh,https://github.com/kumahq/kuma,To Review,Curated GitHub list
353,Istio,Developer Tools,Service mesh,https://github.com/istio/istio,To Review,Curated GitHub list
354,Linkerd2,Developer Tools,Lightweight service mesh,https://github.com/linkerd/linkerd2,To Review,Curated GitHub list
355,Cilium,DevOps / Infrastructure,Networking and security for Kubernetes,https://github.com/cilium/cilium,To Review,Curated GitHub list
356,Calico,DevOps / Infrastructure,Kubernetes networking and security,https://github.com/projectcalico/calico,To Review,Curated GitHub list
357,MetalLB,DevOps / Infrastructure,Load balancer for bare metal Kubernetes,https://github.com/metallb/metallb,To Review,Curated GitHub list
358,cert-manager,DevOps / Infrastructure,Certificate management for Kubernetes,https://github.com/cert-manager/cert-manager,To Review,Curated GitHub list
359,ExternalDNS,DevOps / Infrastructure,DNS records from Kubernetes resources,https://github.com/kubernetes-sigs/external-dns,To Review,Curated GitHub list
360,Rook,DevOps / Infrastructure,Cloud-native storage orchestrator,https://github.com/rook/rook,To Review,Curated GitHub list
361,Velero,DevOps / Infrastructure,Kubernetes backup and restore,https://github.com/vmware-tanzu/velero,To Review,Curated GitHub list
362,KubeVirt,DevOps / Infrastructure,Run virtual machines on Kubernetes,https://github.com/kubevirt/kubevirt,To Review,Curated GitHub list
363,Knative Serving,DevOps / Infrastructure,Serverless workloads on Kubernetes,https://github.com/knative/serving,To Review,Curated GitHub list
364,OpenFaaS,DevOps / Infrastructure,Serverless functions platform,https://github.com/openfaas/faas,To Review,Curated GitHub list
365,Kubeless,DevOps / Infrastructure,Kubernetes-native serverless framework,https://github.com/vmware-archive/kubeless,To Review,Curated GitHub list
366,Fission,DevOps / Infrastructure,Serverless framework for Kubernetes,https://github.com/fission/fission,To Review,Curated GitHub list
367,Apache OpenWhisk,DevOps / Infrastructure,Serverless cloud platform,https://github.com/apache/openwhisk,To Review,Curated GitHub list
368,Hasura GraphQL Engine,Developer Tools,Instant GraphQL APIs,https://github.com/hasura/graphql-engine,To Review,Curated GitHub list
369,PostGraphile,Data / Analytics,GraphQL API for PostgreSQL,https://github.com/graphile/crystal,To Review,Curated GitHub list
370,GraphQL Yoga,DevOps / Infrastructure,GraphQL server framework,https://github.com/dotansimha/graphql-yoga,To Review,Curated GitHub list
371,Apollo Server,DevOps / Infrastructure,GraphQL server,https://github.com/apollographql/apollo-server,To Review,Curated GitHub list
372,Mercurius,Developer Tools,GraphQL adapter for Fastify,https://github.com/mercurius-js/mercurius,To Review,Curated GitHub list
373,Prisma,Design / Frontend,TypeScript ORM,https://github.com/prisma/prisma,To Review,Curated GitHub list
374,Drizzle ORM,Design / Frontend,TypeScript ORM,https://github.com/drizzle-team/drizzle-orm,To Review,Curated GitHub list
375,TypeORM,Design / Frontend,ORM for TypeScript and JavaScript,https://github.com/typeorm/typeorm,To Review,Curated GitHub list
376,Sequelize,Developer Tools,Node.js ORM,https://github.com/sequelize/sequelize,To Review,Curated GitHub list
377,MikroORM,Design / Frontend,TypeScript ORM,https://github.com/mikro-orm/mikro-orm,To Review,Curated GitHub list
378,Knex,Design / Frontend,SQL query builder,https://github.com/knex/knex,To Review,Curated GitHub list
379,Kysely,Design / Frontend,Type-safe SQL query builder,https://github.com/kysely-org/kysely,To Review,Curated GitHub list
380,SQLAlchemy,Data / Analytics,Python SQL toolkit and ORM,https://github.com/sqlalchemy/sqlalchemy,To Review,Curated GitHub list
381,Django,Design / Frontend,Python web framework,https://github.com/django/django,To Review,Curated GitHub list
382,Flask,Design / Frontend,Python web framework,https://github.com/pallets/flask,To Review,Curated GitHub list
383,FastAPI,Developer Tools,Python API framework,https://github.com/fastapi/fastapi,To Review,Curated GitHub list
384,Starlette,Developer Tools,ASGI framework,https://github.com/encode/starlette,To Review,Curated GitHub list
385,Litestar,Design / Frontend,Python web framework,https://github.com/litestar-org/litestar,To Review,Curated GitHub list
386,Sanic,DevOps / Infrastructure,Async Python web server/framework,https://github.com/sanic-org/sanic,To Review,Curated GitHub list
387,Tornado,Design / Frontend,Python web framework,https://github.com/tornadoweb/tornado,To Review,Curated GitHub list
388,Laravel,Design / Frontend,PHP web framework,https://github.com/laravel/framework,To Review,Curated GitHub list
389,Symfony,Design / Frontend,PHP web framework,https://github.com/symfony/symfony,To Review,Curated GitHub list
390,CodeIgniter,Developer Tools,PHP framework,https://github.com/codeigniter4/CodeIgniter4,To Review,Curated GitHub list
391,CakePHP,Design / Frontend,PHP web framework,https://github.com/cakephp/cakephp,To Review,Curated GitHub list
392,Yii2,Developer Tools,PHP framework,https://github.com/yiisoft/yii2,To Review,Curated GitHub list
393,Ruby on Rails,AI / ML,Ruby web framework,https://github.com/rails/rails,To Review,Curated GitHub list
394,Hanami,Design / Frontend,Ruby web framework,https://github.com/hanami/hanami,To Review,Curated GitHub list
395,Phoenix,Design / Frontend,Elixir web framework,https://github.com/phoenixframework/phoenix,To Review,Curated GitHub list
396,NestJS,Developer Tools,Node.js backend framework,https://github.com/nestjs/nest,To Review,Curated GitHub list
397,Express,Design / Frontend,Node.js web framework,https://github.com/expressjs/express,To Review,Curated GitHub list
398,Fastify,Developer Tools,Fast Node.js framework,https://github.com/fastify/fastify,To Review,Curated GitHub list
399,Hono,Design / Frontend,Small web framework,https://github.com/honojs/hono,To Review,Curated GitHub list
400,Koa,Design / Frontend,Node.js web framework,https://github.com/koajs/koa,To Review,Curated GitHub list
401,AdonisJS,Developer Tools,Node.js MVC framework,https://github.com/adonisjs/core,To Review,Curated GitHub list
402,RedwoodJS,Design / Frontend,Full-stack JavaScript framework,https://github.com/redwoodjs/redwood,To Review,Curated GitHub list
403,Blitz,Design / Frontend,Full-stack React framework,https://github.com/blitz-js/blitz,To Review,Curated GitHub list
404,Next.js,Design / Frontend,React framework,https://github.com/vercel/next.js,To Review,Curated GitHub list
405,Remix,Design / Frontend,Full-stack web framework,https://github.com/remix-run/remix,To Review,Curated GitHub list
406,Astro,Design / Frontend,Content-first web framework,https://github.com/withastro/astro,To Review,Curated GitHub list
407,Nuxt,Design / Frontend,Vue framework,https://github.com/nuxt/nuxt,To Review,Curated GitHub list
408,SvelteKit,Design / Frontend,Svelte app framework,https://github.com/sveltejs/kit,To Review,Curated GitHub list
409,SolidStart,Developer Tools,SolidJS app framework,https://github.com/solidjs/solid-start,To Review,Curated GitHub list
410,Qwik,Design / Frontend,Resumable web framework,https://github.com/QwikDev/qwik,To Review,Curated GitHub list
411,Fresh,Design / Frontend,Deno web framework,https://github.com/denoland/fresh,To Review,Curated GitHub list
412,Angular,Developer Tools,Web app framework,https://github.com/angular/angular,To Review,Curated GitHub list
413,React,Design / Frontend,UI library,https://github.com/facebook/react,To Review,Curated GitHub list
414,Vue,Design / Frontend,Progressive JavaScript framework,https://github.com/vuejs/core,To Review,Curated GitHub list
415,Svelte,Design / Frontend,UI framework,https://github.com/sveltejs/svelte,To Review,Curated GitHub list
416,Solid,Design / Frontend,Reactive UI library,https://github.com/solidjs/solid,To Review,Curated GitHub list
417,Preact,Design / Frontend,Fast React alternative,https://github.com/preactjs/preact,To Review,Curated GitHub list
418,Alpine.js,Design / Frontend,Lightweight JavaScript framework,https://github.com/alpinejs/alpine,To Review,Curated GitHub list
419,HTMX,Data / Analytics,HTML-first interactivity,https://github.com/bigskysoftware/htmx,To Review,Curated GitHub list
420,Stimulus,Design / Frontend,Modest JavaScript framework,https://github.com/hotwired/stimulus,To Review,Curated GitHub list
421,Tailwind CSS,AI / ML,Utility-first CSS framework,https://github.com/tailwindlabs/tailwindcss,To Review,Curated GitHub list
422,UnoCSS,Design / Frontend,Atomic CSS engine,https://github.com/unocss/unocss,To Review,Curated GitHub list
423,Panda CSS,Design / Frontend,Build-time CSS-in-JS,https://github.com/chakra-ui/panda,To Review,Curated GitHub list
424,StyleX,Developer Tools,Styling system from Meta,https://github.com/facebook/stylex,To Review,Curated GitHub list
425,CSS Modules,Design / Frontend,CSS modules spec/tools,https://github.com/css-modules/css-modules,To Review,Curated GitHub list
426,Sass,Design / Frontend,CSS extension language,https://github.com/sass/sass,To Review,Curated GitHub list
427,Less.js,Design / Frontend,CSS preprocessor,https://github.com/less/less.js,To Review,Curated GitHub list
428,PostCSS,Design / Frontend,CSS transformation tool,https://github.com/postcss/postcss,To Review,Curated GitHub list
429,Vite,Design / Frontend,Frontend build tool,https://github.com/vitejs/vite,To Review,Curated GitHub list
430,Rollup,Design / Frontend,JavaScript bundler,https://github.com/rollup/rollup,To Review,Curated GitHub list
431,Webpack,Design / Frontend,Module bundler,https://github.com/webpack/webpack,To Review,Curated GitHub list
432,Rspack,Design / Frontend,Rust-based web bundler,https://github.com/web-infra-dev/rspack,To Review,Curated GitHub list
433,Parcel,Design / Frontend,Zero-config web bundler,https://github.com/parcel-bundler/parcel,To Review,Curated GitHub list
434,ESBuild,Design / Frontend,Fast JavaScript bundler,https://github.com/evanw/esbuild,To Review,Curated GitHub list
435,SWC,Developer Tools,Fast JS/TS compiler,https://github.com/swc-project/swc,To Review,Curated GitHub list
436,Babel,Design / Frontend,JavaScript compiler,https://github.com/babel/babel,To Review,Curated GitHub list
437,Biome,Data / Analytics,Formatter and linter,https://github.com/biomejs/biome,To Review,Curated GitHub list
438,ESLint,Design / Frontend,JavaScript linter,https://github.com/eslint/eslint,To Review,Curated GitHub list
439,Prettier,Developer Tools,Code formatter,https://github.com/prettier/prettier,To Review,Curated GitHub list
440,Stylelint,Design / Frontend,CSS linter,https://github.com/stylelint/stylelint,To Review,Curated GitHub list
441,Vitest,Developer Tools,Fast unit testing framework,https://github.com/vitest-dev/vitest,To Review,Curated GitHub list
442,Jest,Design / Frontend,JavaScript testing framework,https://github.com/jestjs/jest,To Review,Curated GitHub list
443,Testing Library,Design / Frontend,UI testing utilities,https://github.com/testing-library/react-testing-library,To Review,Curated GitHub list
444,Mocha,Design / Frontend,JavaScript test framework,https://github.com/mochajs/mocha,To Review,Curated GitHub list
445,Chai,AI / ML,Assertion library,https://github.com/chaijs/chai,To Review,Curated GitHub list
446,Ava,Design / Frontend,JavaScript test runner,https://github.com/avajs/ava,To Review,Curated GitHub list
447,PNPM,Developer Tools,Fast package manager,https://github.com/pnpm/pnpm,To Review,Curated GitHub list
448,Yarn,Developer Tools,Package manager,https://github.com/yarnpkg/berry,To Review,Curated GitHub list
449,Bun,Design / Frontend,JavaScript runtime and toolkit,https://github.com/oven-sh/bun,To Review,Curated GitHub list
450,Deno,Design / Frontend,JavaScript and TypeScript runtime,https://github.com/denoland/deno,To Review,Curated GitHub list
451,Node.js,Design / Frontend,JavaScript runtime,https://github.com/nodejs/node,To Review,Curated GitHub list
452,Electron,Developer Tools,Desktop apps with web tech,https://github.com/electron/electron,To Review,Curated GitHub list
453,Tauri,Developer Tools,Lightweight desktop app framework,https://github.com/tauri-apps/tauri,To Review,Curated GitHub list
454,Neutralinojs,Developer Tools,Lightweight desktop framework,https://github.com/neutralinojs/neutralinojs,To Review,Curated GitHub list
455,Flutter,Developer Tools,Cross-platform app framework,https://github.com/flutter/flutter,To Review,Curated GitHub list
456,React Native,Design / Frontend,Native apps with React,https://github.com/facebook/react-native,To Review,Curated GitHub list
457,Expo,Design / Frontend,React Native platform,https://github.com/expo/expo,To Review,Curated GitHub list
458,NativeScript,Data / Analytics,Native mobile apps with JS,https://github.com/NativeScript/NativeScript,To Review,Curated GitHub list
459,Ionic Framework,Data / Analytics,Hybrid mobile app framework,https://github.com/ionic-team/ionic-framework,To Review,Curated GitHub list
460,Capacitor,DevOps / Infrastructure,Native runtime for web apps,https://github.com/ionic-team/capacitor,To Review,Curated GitHub list
461,Kotlin,AI / ML,Cross-platform Kotlin development,https://github.com/JetBrains/kotlin,To Review,Curated GitHub list
462,Godot,Developer Tools,Open-source game engine,https://github.com/godotengine/godot,To Review,Curated GitHub list
463,Bevy,Developer Tools,Rust game engine,https://github.com/bevyengine/bevy,To Review,Curated GitHub list
464,Phaser,Developer Tools,HTML5 game framework,https://github.com/phaserjs/phaser,To Review,Curated GitHub list
465,PixiJS,Developer Tools,2D rendering engine,https://github.com/pixijs/pixijs,To Review,Curated GitHub list
466,Three.js,Design / Frontend,3D JavaScript library,https://github.com/mrdoob/three.js,To Review,Curated GitHub list
467,Babylon.js,Developer Tools,3D engine for web,https://github.com/BabylonJS/Babylon.js,To Review,Curated GitHub list
468,PlayCanvas Engine,Design / Frontend,Web game engine,https://github.com/playcanvas/engine,To Review,Curated GitHub list
469,Matter.js,Developer Tools,2D physics engine,https://github.com/liabru/matter-js,To Review,Curated GitHub list
470,Rapier,Developer Tools,Physics engine,https://github.com/dimforge/rapier,To Review,Curated GitHub list
471,Fabric.js,AI / ML,Canvas object model,https://github.com/fabricjs/fabric.js,To Review,Curated GitHub list
472,Konva,Design / Frontend,2D canvas framework,https://github.com/konvajs/konva,To Review,Curated GitHub list
473,Paper.js,AI / ML,Vector graphics scripting,https://github.com/paperjs/paper.js,To Review,Curated GitHub list
474,Rough.js,Developer Tools,Sketchy graphics renderer,https://github.com/rough-stuff/rough,To Review,Curated GitHub list
475,Mermaid,AI / ML,Diagrams from text,https://github.com/mermaid-js/mermaid,To Review,Curated GitHub list
476,Draw.io,Design / Frontend,Diagramming app,https://github.com/jgraph/drawio,To Review,Curated GitHub list
477,tldraw,Design / Frontend,Infinite canvas SDK,https://github.com/tldraw/tldraw,To Review,Curated GitHub list
478,React Flow,Design / Frontend,Node-based UI builder,https://github.com/xyflow/xyflow,To Review,Curated GitHub list
479,Rete.js,Developer Tools,Visual programming framework,https://github.com/retejs/rete,To Review,Curated GitHub list
480,LiteGraph.js,Developer Tools,Graph node editor,https://github.com/jagenjo/litegraph.js,To Review,Curated GitHub list
481,JointJS,Design / Frontend,Diagramming library,https://github.com/clientIO/joint,To Review,Curated GitHub list
482,Cytoscape.js,Data / Analytics,Graph visualization,https://github.com/cytoscape/cytoscape.js,To Review,Curated GitHub list
483,D3.js,Data / Analytics,Data visualization library,https://github.com/d3/d3,To Review,Curated GitHub list
484,Apache ECharts,Design / Frontend,Charting library,https://github.com/apache/echarts,To Review,Curated GitHub list
485,Chart.js,Design / Frontend,Simple charts,https://github.com/chartjs/Chart.js,To Review,Curated GitHub list
486,Recharts,Design / Frontend,React charting library,https://github.com/recharts/recharts,To Review,Curated GitHub list
487,Nivo,Design / Frontend,React data visualization,https://github.com/plouc/nivo,To Review,Curated GitHub list
488,Victory,Design / Frontend,React chart components,https://github.com/FormidableLabs/victory,To Review,Curated GitHub list
489,Vega,Data / Analytics,Visualization grammar,https://github.com/vega/vega,To Review,Curated GitHub list
490,Vega-Lite,Data / Analytics,High-level visualization grammar,https://github.com/vega/vega-lite,To Review,Curated GitHub list
491,Observable Plot,Design / Frontend,JavaScript plotting library,https://github.com/observablehq/plot,To Review,Curated GitHub list
492,MapLibre GL JS,Maps / Geo,Open-source map rendering,https://github.com/maplibre/maplibre-gl-js,To Review,Curated GitHub list
493,Leaflet,Maps / Geo,Interactive maps,https://github.com/Leaflet/Leaflet,To Review,Curated GitHub list
494,OpenLayers,Maps / Geo,Web mapping library,https://github.com/openlayers/openlayers,To Review,Curated GitHub list
495,Turf.js,Maps / Geo,Geospatial analysis,https://github.com/Turfjs/turf,To Review,Curated GitHub list
496,Kepler.gl,Data / Analytics,Large-scale geospatial visualization,https://github.com/keplergl/kepler.gl,To Review,Curated GitHub list
497,Deck.gl,Data / Analytics,WebGL data visualization,https://github.com/visgl/deck.gl,To Review,Curated GitHub list
498,CesiumJS,Data / Analytics,3D geospatial visualization,https://github.com/CesiumGS/cesium,To Review,Curated GitHub list
499,OpenStreetMap iD,Maps / Geo,OSM map editor,https://github.com/openstreetmap/iD,To Review,Curated GitHub list
500,Maputnik,AI / ML,Vector map style editor,https://github.com/maputnik/editor,To Review,Curated GitHub list
501,TileServer GL,AI / ML,Vector and raster tile server,https://github.com/maptiler/tileserver-gl,To Review,Curated GitHub list
502,Martin,AI / ML,Vector tile server,https://github.com/maplibre/martin,To Review,Curated GitHub list
503,OpenTripPlanner,Developer Tools,Multimodal trip planner,https://github.com/opentripplanner/OpenTripPlanner,To Review,Curated GitHub list
504,Valhalla,Maps / Geo,Open-source routing engine,https://github.com/valhalla/valhalla,To Review,Curated GitHub list
505,GraphHopper,Maps / Geo,Routing engine,https://github.com/graphhopper/graphhopper,To Review,Curated GitHub list
